Country/Region,Unemployment rate
Marshall Islands,36.0 %
Kiribati,30.6 %
Kosovo,30.5 %
American Samoa *,29.8 %
South Africa,29.8 %
Djibouti,27.9 %
Palestine,25.7 %
Afghanistan,13.3 %
Spain,13.0 %
Nepal,11.1 %
Iran,11.0 %
Turkey,10.0 %
Brazil,9.5 %
Italy,8.1 %
France,7.5 %
Sweden,7.4 %
India,7.3 %
Bermuda *,7.0 %
Egypt,7.0 %
Finland,6.8 %
Argentina,6.5 %
Pakistan,6.4 %
Nigeria,5.8 %
Saudi Arabia,5.6 %
Canada,5.2 %
Hong Kong *,5.1 %
China,4.9 %
Bangladesh,4.7 %
Luxembourg,4.7 %
Russia,4.7 %
Ireland,4.4 %
Switzerland,4.2 %
Denmark,4.2 %
Ecuador,4.0 %
Australia,3.7 %
Malaysia,3.7 %
United Kingdom,3.6 %
Indonesia,3.6 %
United States of America,3.6 %
Netherlands,3.5 %
Mexico,3.3 %
New Zealand,3.3 %
Norway,3.2 %
Germany,3.0 %
United Arab Emirates,2.8 %
South Korea,2.8 %
Singapore,2.8 %
Japan,2.6 %
Macao *,2.6 %
Poland,2.6 %
Philippines,2.2 %
Principality of Monaco,2.0 %
Vietnam,1.9 %
Benin,1.7 %
Bahrain,1.4 %
Cuba,1.4 %
Chad,1.4 %
Guernsey *,1.2 %
Isle of Man *,1.1 %
Burundi,1.0 %
Gibraltar *,1.0 %
Thailand,0.9 %
Niger,0.5 %
Cambodia,0.4 %
Cocos (Keeling) Islands *,0.1 %
Qatar,0.1 %
